inte,erro
10,0.05776978609834539
20,0.057725347398641026
30,0.057705487233416286
40,0.05769174284450661
50,0.05762477827128124
60,0.057710312981462716
70,0.05764818548445975
80,0.057569149721526144
90,0.05759737324902259
100,0.05749939259112922
110,0.05757199897155864
120,0.05757984394314372
130,0.05753819826808426
140,0.05743488835622023
150,0.05744386285842175
160,0.05750592604544116
170,0.057477619291953885
180,0.05742808515988493
190,0.057489948981618064
200,0.057387191469518026
210,0.057499524555299435
220,0.05744497506523359
