inte,erro
10, 0.15027622692899273
20, 0.10222594475224399
30, 0.06640784113361523
40, 0.036297622305204766
50, 0.02552758336900559
60, 0.02299139604378919
70, 0.023605491922997462
80, 0.024656976165417323
90, 0.02604651814935631
100, 0.027422131983517516
110, 0.028489120637397926
120, 0.029485721183675005
130, 0.03055863676411359
140, 0.03182079131160088
150, 0.033252729495668217
160, 0.0351789156640252
170, 0.03789975620628419
180, 0.04139164576554695
190, 0.04037307567803746
200, 0.044567585901433414
210, 0.04187092442017989
220, 0.04102639483837167
230, 0.04105447649758308
240, 0.04104480065089635
250, 0.041005917549586636
260, 0.040955363347303125
270, 0.04090553228088853
280, 0.040861870230839537
290, 0.04082423352194947
300, 0.040788719133639864
310, 0.040749094739425964
320, 0.04069736682155386
330, 0.04062543890087546
340, 0.04052609538675069
350, 0.04039464929361614
360, 0.040229011908769076
370, 0.04002810238197271
380, 0.03978983231664797
390, 0.039509313506923
400, 0.03917946497545174
410, 0.03879697973341369
420, 0.038368148403044276
430, 0.03791285687678864
440, 0.03745698356155767
450, 0.03701967700434705
460, 0.036605562030835946
470, 0.03620768278471862
480, 0.035816103369893035
490, 0.03542612491372924
500, 0.03504355113807689
510, 0.03468193559379551
520, 0.03435523639933418
530, 0.03407056082356694
540, 0.03382733418737924
550, 0.03362089526182126
560, 0.033444916074188695
570, 0.03329331457155771
580, 0.03316104238797147
590, 0.03304422480020977
600, 0.0329397809520819
610, 0.032845428975308615
620, 0.03275959748742746
630, 0.032680880260898985
640, 0.032608235738713943
650, 0.03254077584112861
660, 0.03247761136471744
670, 0.03241802086361838
680, 0.03236145331836184
690, 0.032307233978934535
700, 0.03225486937214426
710, 0.03220366776639728
720, 0.032153369290511484
730, 0.032103633335203954
740, 0.03205397272182127
750, 0.03200411458373515
760, 0.03195385337822234
770, 0.031902951984897655
780, 0.03185125656748133
790, 0.031798550041984903
800, 0.03174494086303823
810, 0.03169031125873282
820, 0.03163482040995696
830, 0.0315785203031973
840, 0.031521645393632024
850, 0.03146449538654109
860, 0.031407322345012076
870, 0.0313505110388495
880, 0.031294309673020354
890, 0.03123914235669691
900, 0.03118523074724845
910, 0.031132997278511598
920, 0.031082586154881024
930, 0.031034195868565817
940, 0.03098803554717982
950, 0.03094406645999544
960, 0.030902497260353375
970, 0.030863268595328237
980, 0.030826176583051475
990, 0.030791402018443742
1000, 0.030758763960912785
