inte,erro
10, 0.1450664469079064
20, 0.03342861960270099
30, 0.01585215745907952
40, 0.03398961709935352
50, 0.017030351306040654
60, 0.02209965050644022
70, 0.021978109036916688
80, 0.11334686442921926
90, 0.029270983345242224
100, 0.034279798333632136
110, 0.03353168705395862
120, 0.04466766609807422
130, 0.026723608656671147
140, 0.06255457881287517
150, 0.0379147022682082
160, 0.035708235413096215
170, 0.04245142053870086
180, 0.044139032865030285
190, 0.044097238967918145
200, 0.0558824952360161
210, 0.054482844236688546
220, 0.034435829524246134
230, 0.04221695007157625
240, 0.034754893549608507
250, 0.03507948586368244
260, 0.03365417958869519
270, 0.033875408077070304
280, 0.04395477638131439
290, 0.03917618352068501
300, 0.04490908536946881
310, 0.03893900716747199
320, 0.03924954358464807
330, 0.04634218880507942
340, 0.043554457935215375
350, 0.0393107824326754
360, 0.03689879535026938
370, 0.043477639414421135
380, 0.04264282413046975
390, 0.04141870645469909
400, 0.03790296251145466
410, 0.04889263335408721
420, 0.054119874232482296
430, 0.036604737118498896
440, 0.04551911570943333
450, 0.038545599567862326
460, 0.05137922733675208
470, 0.041889197802669614
480, 0.04206759492639907
490, 0.03346185180075234
500, 0.041138183527288666
510, 0.03149996025001778
520, 0.03473883613084127
530, 0.04870043340793577
540, 0.034372600061286576
550, 0.03257394941280016
560, 0.0521452611494897
570, 0.033969699954558535
580, 0.03521846679083011
590, 0.03445047191012471
600, 0.032279245586355705
610, 0.0339072005714968
620, 0.04327084144321
630, 0.03820412256297498
640, 0.04267939038408731
650, 0.03958823785685836
660, 0.03346844278428156
670, 0.04027595111253752
680, 0.035933208146443324
690, 0.0394228671690308
700, 0.04099491772239639
710, 0.039372425129337744
720, 0.03380414590605573
730, 0.03165793242713636
740, 0.034950648801070155
750, 0.0367900405441671
760, 0.03531560008838687
770, 0.03369784638572167
780, 0.043951911307387494
790, 0.03883867749589888
800, 0.04534014382182083
810, 0.04285876238254803
820, 0.03482308830711643
830, 0.03438259614190619
840, 0.031368462577891686
850, 0.03118671447128374
860, 0.03713949993474472
870, 0.02999440788557555
880, 0.03690220651439763
890, 0.0348506412431428
900, 0.04569958244952781
910, 0.04823170091840315
920, 0.03874365487694966
930, 0.0359667401964922
940, 0.03430564672898495
950, 0.03685665721928107
960, 0.034967530860555186
970, 0.037170742435705714
980, 0.03432260445176941
990, 0.0414488530822158
1000, 0.041322187391635984
