inte,erro
10, 0.05664275212123774
20, 0.05627694625903215
30, 0.05619847629596278
40, 0.05610458739467525
50, 0.055982751120740075
60, 0.0560480407995105
70, 0.05603177571978982
80, 0.05608588912653052
90, 0.05606717665433968
100, 0.055981133488496475
110, 0.05594440325293021
120, 0.05588879530233398
130, 0.05585176528147515
140, 0.05584161034127872
150, 0.05581839955513242
160, 0.05580721562931008
170, 0.05581656940440404
180, 0.05581847389129738
190, 0.05580427946641476
200, 0.05582794448455012
210, 0.05578819381024084
220, 0.055821989312441256
